"S Pankow-Heinersdorf (Berlin)", 009130001#86
"U Pankstr. (Berlin)", 009009203#86
"Paracelsus-Bad (Berlin) (U)", 009085104#86
"U Paradestr. (Berlin)", 009068101#86
"Parchimer Allee (Berlin) (U)", 009080401#86
"Paulsternstr. (Berlin) (U)", 009034101#86
"S Petershagen Nord", 009320005#86
"S Pichelsberg (Berlin)", 009025424#86
"Plänterwald (Berlin) (S)", 009191002#86
"Platz der Luftbrücke (Berlin) (U)", 009017102#86
"U Podbielskiallee (Berlin)", 009051302#86
"Poelchaustr. (Berlin) (S)", 009170005#86
"Potsdam Hauptbahnhof (S)", 009230999#86
"Potsdamer Platz Bhf (Berlin) (S+U)", 009100020#86
"Prenzlauer Allee (Berlin) (S)", 009110002#86
"Priesterweg (Berlin) (S)", 009058102#86
"Prinzenstr. (Berlin) (U)", 009013103#86
"Rahnsdorf (Berlin) (S)", 009183001#86
"S Raoul-Wallenberg-Str. (Berlin)", 009170002#86
"U Rathaus Neukölln (Berlin)", 009078102#86
"U Rathaus Reinickendorf (Berlin)", 009096410#86
"Rathaus Schöneberg (Berlin) (U)", 009054101#86
"S+U Rathaus Spandau (Berlin)", 009029302#86
"Rathaus Steglitz (Berlin) (S+U)", 009062202#86
"U Rehberge (Berlin)", 009011101#86
"Reinickendorfer Str. (Berlin) (U)", 009008102#86
"Residenzstr. (Berlin) (U)", 009085203#86
"U Richard-Wagner-Platz (Berlin)", 009022202#86
"Rohrdamm (Berlin) (U)", 009036101#86
"S Röntgental", 009350162#86
"U Rosa-Luxemburg-Platz (Berlin)", 009100016#86
"U Rosenthaler Platz (Berlin)", 009100023#86
"U Rüdesheimer Platz (Berlin)", 009045101#86
"Rudow (Berlin) (U)", 009083201#86
"Ruhleben (Berlin) (U)", 009025202#86
"Rummelsburg (Berlin) (S)", 009160001#86
"Samariterstr. (Berlin) (U)", 009120009#86
"Savignyplatz (Berlin) (S)", 009024203#86
"Scharnweberstr. (Berlin) (U)", 009087101#86
"Schichauweg (Berlin) (S)", 009074202#86
"U Schillingstr. (Berlin)", 009100017#86
"S Schlachtensee (Berlin)", 009050355#86
"U Schlesisches Tor (Berlin)", 009014102#86
"Schloßstr. (Berlin) (U)", 009062203#86
"Schöneberg (Berlin) (S)", 009054104#86
"Schöneweide (Berlin) (S)", 009192001#86
"Schönfließ (S)", 009200012#86
"Schönhauser Allee (Berlin) (S+U)", 009110001#86
"Schönholz (Berlin) (S)", 009085201#86
"U Schönleinstr. (Berlin)", 009016201#86
"Schulzendorf (Berlin) (S)", 009091205#86
"U Schwartzkopffstr. (Berlin)", 009100501#86
"Seestr./Beusselstr. (Berlin)", 009019103#86
"U Senefelderplatz (Berlin)", 009110005#86
"U Siemensdamm (Berlin)", 009035101#86
"Sonnenallee (Berlin) (S)", 009077106#86
"U Sophie-Charlotte-Platz (Berlin)", 009022101#86
"SPANDAU", 009600002#86
"U Spichernstr. (Berlin)", 009042101#86
"Spindlersfeld (Berlin) (S)", 009180003#86
"U Spittelmarkt (Berlin)", 009100013#86
"S Springpfuhl (Berlin)", 009171003#86
"Stadtmitte (Berlin) (U)", 009100011#86
"Storkower Str. (Berlin) (S)", 009110012#86
"Strausberg Bhf (S)", 009320004#86
"Strausberg Nord (S)", 009320001#86
"Strausberg Stadt (S)", 009320002#86
"U Strausberger Platz (Berlin)", 009120006#86
"S Stresow (Berlin)", 009030202#86
"S Südende (Berlin)", 009063452#86
"S Südkreuz Bhf (Berlin)", 009058101#86
"U Südstern (Berlin)", 009016202#86
"S Sundgauer Str. (Berlin)", 009049202#86
"Tegel (Berlin) (S)", 009089303#86
"Teltow Stadt (S)", 009220114#86
"Tempelhof (Berlin) (S+U)", 009068201#86
"Theodor-Heuss-Platz (Berlin) (U)", 009026201#86
"U Thielplatz (Berlin)", 009051201#86
"Tiergarten (Berlin) (S)", 009003103#86
"Tierpark (Berlin) (U)", 009161002#86
"S Treptower Park (Berlin)", 009190001#86
"Turmstr./Beusselstr. (Berlin)", 009002102#86
"Uhlandstr. (Berlin) (U)", 009023301#86
"Ullsteinstr. (Berlin) (U)", 009069271#86
"U Viktoria-Luise-Platz (Berlin)", 009055101#86
"U Vinetastr. (Berlin)", 009130011#86
"U Voltastr. (Berlin)", 009007103#86
"Waidmannslust (Berlin) (S)", 009094101#86
"U Walther-Schreiber-Platz (Berlin)", 009061101#86
"S Wannsee Bhf (Berlin)", 009053301#86
"Warschauer Str. (Berlin) (S+U)", 009120004#86
"Wartenberg (Berlin) (S)", 009151001#86
"U Weberwiese (Berlin)", 009120025#86
"S+U Wedding (Berlin)", 009009104#86
"Weinmeisterstr. (Berlin) (U)", 009100051#86
"Westend (Berlin) (S)", 009026207#86
"S+U Westhafen (Berlin)", 009001201#86
"Westkreuz (Berlin) (S)", 009024102#86
"U Westphalweg (Berlin)", 009070101#86
"Wildau (S)", 009260002#86
"S Wilhelmshagen (Berlin)", 009183002#86
"S Wilhelmsruh (Berlin)", 009084101#86
"Wilmersdorfer Str. (Berlin) (U)", 009024202#86
"Wittenau (Berlin) (S+U)", 009096101#86
"U Wittenbergplatz (Berlin)", 009056101#86
"Wollankstr. (Berlin) (S)", 009130003#86
"S+U Wuhletal (Berlin)", 009175001#86
"Wuhlheide (Berlin) (S)", 009180002#86
"Wutzkyallee (Berlin) (U)", 009083102#86
"YORCKSTR. (S+U)", 009600003#86
"Zehlendorf (Berlin) (S)", 009049201#86
"Zepernick (S)", 009350163#86
"Zeuthen (S)", 009260003#86
"Zitadelle (Berlin) (U)", 009033101#86
"S+U Zoologischer Garten Bhf (Berlin)", 009023201#86
"Zwickauer Damm (Berlin) (U)", 009083101#86
